Data,Tipo,Preço BTC (R$),Valor Operação (R$),Taxa (R$),BTC Comprado/Vendido,BTC Total,Variação (%),Total Investido (R$),Total Vendido (R$)
2025-04-03 12:00:00,COMPRA,462828.0,10.0,0.01,2.158469236951956e-05,2.158469236951956e-05,-2.273255151036542,10.0,0.0
2025-04-21 01:00:00,VENDA,509694.0,10.990586604397313,0.011001588192589904,-2.158469236951956e-05,0.0,10.126007933832872,10.0,10.990586604397313
