Data,Tipo,Preço BTC (R$),Valor Operação (R$),Taxa (R$),BTC Comprado/Vendido,BTC Total,EMA_9,EMA_21,RSI,Sinal,Total Investido (R$),Total Vendido (R$)
2020-11-08 20:00:00,COMPRA,84488.0,100.0,0.1,0.001182416437837326,0.001182416437837326,83284.51696113775,83237.32331254876,45.022790766063814,EMA Crossover + RSI Favorável,100.0,0.0
2020-11-11 20:00:00,VENDA,86315.0,101.95821455709687,0.1020602748319288,-0.001182416437837326,0.0,86455.50703090256,85395.87553147478,72.70840851678093,RSI Sobrecomprado,100.0,101.95821455709687
2021-01-16 12:00:00,COMPRA,199563.0,100.0,0.1,0.0005005937974474227,0.0005005937974474227,198148.7091665246,198086.2334919876,46.146940703992435,EMA Crossover + RSI Favorável,200.0,101.95821455709687
2021-01-16 16:00:00,VENDA,195638.0,97.83723417567386,0.09793516934501888,-0.0005005937974474227,0.0,197646.56733321972,197863.66681089782,39.20966420966422,EMA Crossover Baixa,200.0,199.79544873277072
2021-03-05 20:00:00,COMPRA,279491.0,100.0,0.1,0.00035743548092782954,0.00035743548092782954,277518.74068076,277309.564994872,34.852099848636456,EMA Crossover + RSI Favorável,300.0,199.79544873277072
2021-03-06 12:00:00,VENDA,272380.0,97.26091801882708,0.09735827629512221,-0.00035743548092782954,0.0,277121.8329828393,277300.8899630299,37.70951801544536,EMA Crossover Baixa,300.0,297.0563667515978
2021-04-05 20:00:00,COMPRA,337447.0,100.0,0.1,0.00029604649026365623,0.00029604649026365623,336116.7428127309,336061.95770849835,46.42785751409267,EMA Crossover + RSI Favorável,400.0,297.0563667515978
2021-04-06 04:00:00,VENDA,335374.0,99.18700933005776,0.09928629562568345,-0.00029604649026365623,0.0,335919.9154001478,335979.0063706598,56.18287373004354,EMA Crossover Baixa,400.0,396.2433760816556
2021-06-02 16:00:00,COMPRA,193618.0,100.0,0.1,0.0005159644247952153,0.0005159644247952153,191513.4706795714,191319.31956560863,49.92033283172523,EMA Crossover + RSI Favorável,500.0,396.2433760816556
2021-06-03 20:00:00,VENDA,199400.0,102.78042299786178,0.10288330630416595,-0.0005159644247952153,0.0,195561.1203534605,193661.712091308,76.31109860212027,RSI Sobrecomprado,500.0,499.02379907951735
2021-07-03 04:00:00,COMPRA,174633.0,100.0,0.1,0.0005720568277473331,0.0005720568277473331,171146.16687984788,171060.60861927827,48.32090129685227,EMA Crossover + RSI Favorável,600.0,499.02379907951735
2021-07-04 08:00:00,VENDA,179700.0,102.69581333424955,0.10279861194619574,-0.0005720568277473331,0.0,176254.1875476407,174053.05057223453,78.18523096644233,RSI Sobrecomprado,600.0,601.7196124137669
2021-07-09 16:00:00,COMPRA,177876.0,100.0,0.1,0.0005616272009714633,0.0005616272009714633,176323.7816952738,176289.43258765154,41.91787439613527,EMA Crossover + RSI Favorável,700.0,601.7196124137669
2021-07-10 12:00:00,VENDA,179950.0,100.96375,0.10106481481481483,-0.0005616272009714633,0.0,178426.98958590731,177467.78144044522,85.82805429864254,RSI Sobrecomprado,700.0,702.6833624137669
2021-11-01 04:00:00,COMPRA,353604.0,100.0,0.1,0.00028251942851325213,0.00028251942851325213,348725.36174213217,348296.5535217165,48.46367279827356,EMA Crossover + RSI Favorável,800.0,702.6833624137669
2021-11-03 08:00:00,VENDA,360228.0,101.66963728577731,0.1017714086944718,-0.00028251942851325213,0.0,358942.580750149,355238.80035709764,71.58897339315276,RSI Sobrecomprado,800.0,804.3529996995442
2022-01-15 12:00:00,COMPRA,242204.0,100.0,0.1,0.0004124622219286222,0.0004124622219286222,240211.26286801643,240147.99914451916,46.12167485289111,EMA Crossover + RSI Favorável,900.0,804.3529996995442
2022-01-17 00:00:00,VENDA,238432.0,98.24584830638636,0.09834419249888525,-0.0004124622219286222,0.0,240199.19646580398,240323.0566454203,48.14626427037413,EMA Crossover Baixa,900.0,902.5988480059306
2022-01-28 20:00:00,COMPRA,204459.0,100.0,0.1,0.0004886065176881428,0.0004886065176881428,202163.57432456792,202074.9902923648,44.726056945642796,EMA Crossover + RSI Favorável,1000.0,902.5988480059306
2022-01-31 08:00:00,VENDA,202385.0,98.78774345223246,0.09888663008231478,-0.0004886065176881428,0.0,203775.14152925598,203900.62317232837,45.04390747862021,EMA Crossover Baixa,1000.0,1001.386591458163
2022-12-02 12:00:00,COMPRA,89166.0,100.0,0.1,0.00112038220846511,0.00112038220846511,88859.84292080862,88831.04457474603,45.083538756505064,EMA Crossover + RSI Favorável,1100.0,1001.386591458163
2022-12-04 04:00:00,VENDA,88596.0,99.16212075903371,0.0992613821411749,-0.00112038220846511,0.0,88922.00409523505,88935.75027844172,50.60776756596501,EMA Crossover Baixa,1100.0,1100.5487122171967
2022-12-29 20:00:00,COMPRA,88385.0,100.0,0.1,0.0011302822877185044,0.0011302822877185044,88024.09989154816,87989.02988703843,35.476270615954235,EMA Crossover + RSI Favorável,1200.0,1100.5487122171967
2022-12-30 04:00:00,VENDA,87620.0,98.93629871584545,0.09903533404989535,-0.0011302822877185044,0.0,87949.98393059082,87961.84288184992,34.91222259026168,EMA Crossover Baixa,1200.0,1199.485010933042
2023-03-26 20:00:00,COMPRA,148073.0,100.0,0.1,0.0006746672249498558,0.0006746672249498558,147037.53694518894,146958.67076185823,48.497705429041474,EMA Crossover + RSI Favorável,1300.0,1199.485010933042
2023-03-27 12:00:00,VENDA,142289.0,95.90172704611913,0.09599772477089004,-0.0006746672249498558,0.0,146374.2119327494,146713.13275176438,38.83022490400439,EMA Crossover Baixa,1300.0,1295.3867379791611
2023-03-29 12:00:00,COMPRA,147318.0,100.0,0.1,0.0006781248727243107,0.0006781248727243107,144769.783976573,144756.47230158042,49.642406394615065,EMA Crossover + RSI Favorável,1400.0,1295.3867379791611
2023-03-30 04:00:00,VENDA,148673.0,100.7180403433389,0.10081885920254145,-0.0006781248727243107,0.0,146418.29391680434,145612.4237426271,70.51958877465962,RSI Sobrecomprado,1400.0,1396.1047783225001
2023-04-01 20:00:00,COMPRA,145557.0,100.0,0.1,0.0006863290669634576,0.0006863290669634576,145322.11145893516,145320.09521031554,47.24553786782441,EMA Crossover + RSI Favorável,1500.0,1396.1047783225001
2023-04-02 08:00:00,VENDA,145079.0,99.47236277128547,0.09957193470599147,-0.0006863290669634576,0.0,145301.07306697482,145314.83411744217,49.096427093392194,EMA Crossover Baixa,1500.0,1495.5771410937855
2023-07-07 08:00:00,COMPRA,149026.0,100.0,0.1,0.0006703528243393771,0.0006703528243393771,148864.40195004083,148857.71263329635,45.460489445170936,EMA Crossover + RSI Favorável,1600.0,1495.5771410937855
2023-07-07 12:00:00,VENDA,148714.0,99.59115906888732,0.09969084991880613,-0.0006703528243393771,0.0,148834.32156003267,148844.64784845125,45.854531750518184,EMA Crossover Baixa,1600.0,1595.1683001626727
2023-08-11 16:00:00,COMPRA,144709.0,100.0,0.1,0.0006903509802431086,0.0006903509802431086,144526.8623128754,144523.0238753298,36.138679370120414,EMA Crossover + RSI Favorável,1700.0,1595.1683001626727
2023-08-12 20:00:00,VENDA,145089.0,100.06217103911989,0.10016233337249239,-0.0006903509802431086,0.0,144880.20425131713,144724.68834764668,74.79806138933765,RSI Sobrecomprado,1700.0,1695.2304712017926
2023-09-23 08:00:00,COMPRA,132052.0,100.0,0.1,0.0007565201587253507,0.0007565201587253507,131945.81075147356,131934.5551789827,44.410491469315,EMA Crossover + RSI Favorável,1800.0,1695.2304712017926
2023-09-23 16:00:00,VENDA,132224.0,99.93009134583347,0.10003012146730078,-0.0007565201587253507,0.0,132016.19888094306,131969.4175032915,70.90374724467304,RSI Sobrecomprado,1800.0,1795.1605625476261
2023-09-24 08:00:00,COMPRA,131990.0,100.0,0.1,0.0007568755208727934,0.0007568755208727934,131955.36146163428,131950.63827832215,48.73574615765988,EMA Crossover + RSI Favorável,1900.0,1795.1605625476261
2023-09-24 12:00:00,VENDA,131841.0,99.68743832184256,0.09978722554738996,-0.0007568755208727934,0.0,131932.48916930743,131940.67116211104,42.79497098646035,EMA Crossover Baixa,1900.0,1894.8480008694687
2023-11-18 12:00:00,COMPRA,181303.0,100.0,0.1,0.000551011290491608,0.000551011290491608,179761.87471899728,179689.0807194952,44.73302306960917,EMA Crossover + RSI Favorável,2000.0,1894.8480008694687
2023-11-19 20:00:00,VENDA,184341.0,101.47239832821299,0.1015739723005135,-0.000551011290491608,0.0,181692.36097685562,180802.23443390024,76.04490631874384,RSI Sobrecomprado,2000.0,1996.3203991976816
2023-11-28 20:00:00,COMPRA,185204.0,100.0,0.1,0.0005394051964320426,0.0005394051964320426,184419.7137984006,184409.519456,49.4689856857011,EMA Crossover + RSI Favorável,2100.0,1996.3203991976816
2023-11-29 20:00:00,VENDA,186435.0,100.46344378901105,0.10056400779680785,-0.0005394051964320426,0.0,185827.59006196793,185241.84646817125,70.6878937510642,RSI Sobrecomprado,2100.0,2096.7838429866924
2023-12-16 12:00:00,COMPRA,212242.0,100.0,0.1,0.0004706891190245098,0.0004706891190245098,210653.43074945544,210547.65972974795,48.98146529113482,EMA Crossover + RSI Favorável,2200.0,2096.7838429866924
2023-12-17 00:00:00,VENDA,208579.0,98.07768989125621,0.09817586575701323,-0.0004706891190245098,0.0,210230.2285437212,210383.88334316146,35.331692062013445,EMA Crossover Baixa,2200.0,2194.861532877949
2023-12-25 20:00:00,COMPRA,215128.0,100.0,0.1,0.0004643746978543007,0.0004643746978543007,214162.05948323256,214060.6201405088,49.88879384088965,EMA Crossover + RSI Favorável,2300.0,2194.861532877949
2023-12-26 04:00:00,VENDA,210378.0,97.59652596500688,0.09769422018519207,-0.0004643746978543007,0.0,213450.51806926887,213757.6034219081,35.676902705088594,EMA Crossover Baixa,2300.0,2292.458058842956
2024-01-04 12:00:00,COMPRA,217981.0,100.0,0.1,0.00045829682403512233,0.00045829682403512233,215537.29519997275,215527.78918541447,40.89615931721195,EMA Crossover + RSI Favorável,2400.0,2292.458058842956
2024-01-05 12:00:00,VENDA,213459.0,97.72975417995146,0.09782758176171318,-0.00045829682403512233,0.0,215624.9505369017,215698.31293667812,35.61509876784666,EMA Crossover Baixa,2400.0,2390.1878130229074
2024-02-01 16:00:00,COMPRA,213757.0,100.0,0.1,0.00046735311592135,0.00046735311592135,212261.20952461235,212159.97587105932,42.19984097535117,EMA Crossover + RSI Favorável,2500.0,2390.1878130229074
2024-02-03 08:00:00,VENDA,214779.0,100.27725724958717,0.10037763488447163,-0.00046735311592135,0.0,214604.16626006836,213724.9615560589,72.75457034354852,RSI Sobrecomprado,2500.0,2490.465070272495
2024-02-07 12:00:00,COMPRA,215021.0,100.0,0.1,0.000464605782690993,0.000464605782690993,214599.1592847881,214544.13699021665,46.73063255152807,EMA Crossover + RSI Favorável,2600.0,2490.465070272495
2024-02-07 20:00:00,VENDA,221272.0,102.7014464968538,0.1028042507476014,-0.000464605782690993,0.0,216422.0219422644,215412.52643819558,77.2508861756597,RSI Sobrecomprado,2600.0,2593.1665167693486
2024-04-01 16:00:00,COMPRA,354426.0,100.0,0.1,0.0002818641973218669,0.0002818641973218669,353539.9352628972,353451.52189419256,48.33696297762819,EMA Crossover + RSI Favorável,2700.0,2593.1665167693486
2024-04-02 00:00:00,VENDA,342710.0,96.50108138511283,0.096597679064177,-0.0002818641973218669,0.0,351589.7985682543,352593.81974726653,36.38026914465924,EMA Crossover Baixa,2700.0,2689.6675981544613
2024-04-10 20:00:00,COMPRA,358483.0,100.0,0.1,0.0002786743025471222,0.0002786743025471222,353821.78925915377,353535.1746177163,43.08286413347876,EMA Crossover + RSI Favorável,2800.0,2689.6675981544613
2024-04-12 00:00:00,VENDA,361834.0,100.73300375024758,0.10083383758783541,-0.0002786743025471222,0.0,357880.3521692414,356086.3393091363,74.91846170388158,RSI Sobrecomprado,2800.0,2790.4006019047088
2024-08-20 16:00:00,COMPRA,327027.0,100.0,0.1,0.00030547936408920366,0.00030547936408920366,325240.7155329487,325105.0910931606,45.44065074348479,EMA Crossover + RSI Favorável,2900.0,2790.4006019047088
2024-08-20 20:00:00,VENDA,323913.0,98.849788522966,0.09894873726022622,-0.00030547936408920366,0.0,324975.17242635903,324996.71917560056,42.83411882493712,EMA Crossover Baixa,2900.0,2889.2503904276746
2024-08-21 00:00:00,COMPRA,325801.0,100.0,0.1,0.00030662889309732014,0.00030662889309732014,325140.33794108726,325069.8356141823,46.15402888635499,EMA Crossover + RSI Favorável,3000.0,2889.2503904276746
2024-08-22 20:00:00,VENDA,337903.0,103.5072120413995,0.10361082286426376,-0.00030662889309732014,0.0,334902.8023637332,331366.8493864559,70.74589824900042,RSI Sobrecomprado,3000.0,2992.7576024690743
2024-09-18 00:00:00,COMPRA,332769.0,100.0,0.1,0.00030020825257160376,0.00030020825257160376,330162.6651751143,329869.76819338993,46.671496760995566,EMA Crossover + RSI Favorável,3100.0,2992.7576024690743
2024-09-18 20:00:00,VENDA,338845.0,101.62234127728246,0.10172406534262508,-0.00030020825257160376,0.0,331655.2787645815,330659.1429692395,70.15820334107755,RSI Sobrecomprado,3100.0,3094.3799437463567
2025-03-05 08:00:00,COMPRA,527701.0,100.0,0.1,0.00018931175040411144,0.00018931175040411144,515475.02387181594,515156.12787770625,42.37511949318686,EMA Crossover + RSI Favorável,3200.0,3094.3799437463567
2025-03-07 00:00:00,VENDA,505626.0,95.62522216671942,0.09572094310982925,-0.00018931175040411144,0.0,518133.92912111763,518256.63253905706,41.940881204684885,EMA Crossover Baixa,3200.0,3190.0051659130763
2025-04-04 20:00:00,COMPRA,490629.0,100.0,0.1,0.00020361617433947037,0.00020361617433947037,479792.0136854363,478427.9890756598,47.457554861607,EMA Crossover + RSI Favorável,3300.0,3190.0051659130763
2025-04-05 20:00:00,VENDA,491003.0,99.87617629675377,0.09997615244920298,-0.00020361617433947037,0.0,486615.6389795551,483084.5600962426,73.57891496978827,RSI Sobrecomprado,3300.0,3289.88134220983
